director_name,duration,director_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,aspect_ratio,movie_facebook_likes
Tim Burton,92,13000,Comedy|Fantasy,Catherine O'Hara,189413,Glenn Shadix,3,attic|ghost|surrealism|teenage girl|yuppie,English,1.85,15000
Tyler Perry,113,0,Comedy|Drama,Michael Jai White,9811,Lamman Rucker,8,marriage|overweight|psychologist|secret|work,English,1.85,1000
Gillian Armstrong,115,44,Drama|Family|Romance,Christian Bale,36624,Eric Stoltz,4,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,English,1.85,0
James Watkins,95,43,Drama|Fantasy|Horror|Thriller,Daniel Radcliffe,139749,Jessica Raine,0,afterlife|baby boy|bird in a cage|ghost|reunited family,English,2.35,29000
Simon West,87,165,Horror|Thriller,Madeline Carroll,34711,Brian Geraghty,0,babysitting|cell phone|high school|nightmare|teenager,English,2.35,0
Shawn Levy,88,189,Adventure|Comedy|Family,Frankie Muniz,29008,Lee Majors,1,brunette|film producer|liar|prank|stunt,English,1.85,896
Michael Cimino,183,517,Drama|War,Robert De Niro,232577,John Savage,2,escape|friend|party|pittsburgh steelers|vietnam,English,2.35,11000
Barry Levinson,97,272,Comedy|Drama,Robert De Niro,67604,John Michael Higgins,0,death|election|hollywood|president|scandal,English,1.85,12000
Jim Fall,94,13,Adventure|Comedy|Family|Music|Romance,Clayton Snyder,27580,Alex Borstein,1,best friend|roma|singer|spaghetti|teenager,English,2.35,0
Ric Roman Waugh,112,29,Action|Drama|Thriller,Dwayne Johnson,64747,Nadine Velazquez,1,cigarette smoking|dea|drugs|inspired by true events|undercover,English,2.35,12000
Michael Dougherty,98,66,Comedy|Fantasy|Horror,Adam Scott,29867,Allison Tolman,0,christmas|german|holiday|krampus|santa claus,English,2.35,27000
Robert Rodriguez,104,0,Horror|Mystery|Sci-Fi,Jordana Brewster,92074,Clea DuVall,1,alien|high school|ohio|photographer|water,English,1.85,0
Brian Gibson,118,13,Biography|Drama|Music,Rae'Ven Kelly,13442,Dororthy Thorton,0,abusive husband|love|singer|tina turner|violence,English,1.85,0
James Mangold,120,446,Crime|Drama|Thriller,Robert De Niro,69576,Janeane Garofalo,3,corruption|faked death|falling off a roof|internal affairs|nypd,English,1.85,2000
Joel Gallen,99,11,Comedy,Chris Evans,80305,Mia Kirshner,0,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom,English,1.85,0
David Ayer,109,453,Crime|Drama|Thriller,Jake Gyllenhaal,181025,America Ferrera,2,lapd|police|police officer|south central los angeles|street gang,English,1.85,38000
Cameron Crowe,105,488,Comedy|Drama|Romance,Emma Stone,39782,Bill Murray,1,box office flop|critically bashed|hawaii|one word title|written by director,English,1.85,11000
Rob Cohen,106,357,Action|Crime|Drama|Thriller,Paul Walker,26846,William Petersen,0,college|friend|ivy league|secret society|suicide,English,1.85,0
James Marsh,123,120,Biography|Drama|Romance,Eddie Redmayne,265507,Simon McBurney,0,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,English,2.35,90000
John Whitesell,86,14,Comedy|Crime,Greg Grunberg,15939,Blair Underwood,3,los angeles california|person in car trunk|racial impersonation|south asian|street gang,English,2.35,0
Matt Williams,120,18,Comedy|Drama|Romance,Natalie Portman,27044,Stockard Channing,2,birth|oklahoma|photographer|tennessee|wal mart,English,1.85,0
David Lean,227,767,Adventure|Biography|Drama|History|War,Claude Rains,192775,Jack Hawkins,8,arab|british military|desert|ottoman empire|t.e. lawrence,English,2.2,11000
Rob Zombie,119,0,Horror,Scout Taylor-Compton,36372,Margot Kidder,0,halloween|hospital|michael myers|rampage|vomiting,English,1.85,3000
Jean-Marc Vallée,115,212,Adventure|Biography|Drama,Michiel Huisman,86664,Gaby Hoffmann,1,female protagonist|grief|hiking|loss of mother|mother daughter relationship,English,2.35,38000
Dennis Iliadis,114,29,Crime|Horror|Thriller,Tony Goldwyn,67822,Martha MacIsaac,0,kidnapping|lake|microwave oven|psychopath|woods,English,1.85,0
Clare Kilner,90,6,Comedy|Romance,Jack Davenport,38248,Holland Taylor,0,chick flick|escort|male escort|wedding|wedding date,English,1.85,0
Rick Rosenthal,94,28,Comedy|Horror|Thriller,Jamie Lee Curtis,26905,Bianca Kajlich,5,cult film|halloween|killer|michael myers|serial killer,English,2.35,0
Louis Leterrier,106,255,Action|Adventure|Fantasy,Liam Neeson,229687,Alexa Davalos,0,famous line|hand to hand combat|kraken|rape|zeus,English,2.35,15000
Rob Reiner,98,0,Adventure|Family|Fantasy|Romance,Robin Wright,294163,André the Giant,0,fairy tale|giant|pirate|princess|true love,English,1.85,33000
Denzel Washington,126,18000,Biography|Drama,Denzel Washington,47626,John Heard,1,college|debate|student|texas|wiley college,English,2.35,0
Nicolas Winding Refn,100,0,Crime|Drama,Ryan Gosling,431578,Russ Tamblyn,0,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,English,2.35,81000
Sara Sugarman,89,10,Comedy|Family|Music|Romance,Adam Garcia,23408,Glenne Headly,8,band|friend|new york city|suburb|teenager,English,1.85,810
Nicholas Hytner,111,13,Comedy|Drama|Romance,Liam Aiken,15582,Kali Rocha,0,baby|dancing|gay|name calling|penis slur,English,1.85,849
Juan Carlos Fresnadillo,100,35,Drama|Horror|Sci-Fi,Jeremy Renner,212167,Catherine McCormack,1,paris france|rage|sniper|u.s. army|zombie apocalypse,English,1.85,0
Thomas Carter,115,49,Drama|Family|Sport,Jessie T. Usher,12596,Ser'Darius Blain,0,coach|high school football,English,1.85,0
Wayne Wang,106,61,Comedy|Drama|Family,Cicely Tyson,8427,Eva Marie Saint,5,10 year old|dog|florida|girl|supermarket,English,1.85,1000
Gina Prince-Bythewood,124,107,Drama|Romance|Sport,Alfre Woodard,14322,Omar Epps,0,basketball movie|female basketball player|high school|nba|title directed by female,English,1.85,0
George Armitage,107,5,Action|Comedy|Crime|Romance|Thriller,Minnie Driver,73347,Mitchell Ryan,1,assassin|high school|high school reunion|reunion|suburb,English,1.85,0
Phil Traill,99,3,Comedy|Romance,Bradley Cooper,33088,Beth Grant,3,blind date|crossword puzzle|eccentric|fall|mine shaft,English,1.85,0
Joe Berlinger,90,31,Adventure|Fantasy|Horror|Mystery|Thriller,Kim Director,28964,Kurt Loder,0,convenience store|digit in title|punctuation in title|violence|witch,English,1.85,949
Andrew Fleming,101,26,Drama|Fantasy|Horror|Thriller,Christine Taylor,57140,Brenda Strong,0,coven|occult|outcast|spell|witch,English,1.85,6000
Woody Allen,119,11000,Drama|Romance|Thriller,Scarlett Johansson,166269,Penelope Wilton,3,extramarital affair|infidelity|irony of fate|surprise ending|tennis,English,1.85,0
Elizabeth Allen Rosenbaum,103,20,Adventure|Comedy|Family|Fantasy,Sierra McCormick,13874,Jason Spevack,2,aunt|cat|death of pet|girl|no opening credits,English,2.35,0
James Ivory,134,133,Drama|Romance,Anthony Hopkins,45703,Ben Chaplin,1,butler|housekeeper|manor|servant|service,English,2.35,0
Paul Thomas Anderson,155,0,Drama,Don Cheadle,189032,Nina Hartley,15,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,English,2.35,0
Robert Harmon,94,11,Action|Crime|Drama|Romance|Thriller,Kieran Culkin,17074,Joss Ackland,0,business|escaped convict|farm|motorcycle|widow,English,1.85,466
Michael Mayer,95,15,Adventure|Drama|Family,Alison Lohman,6095,Tim McGraw,0,father son relationship|horse|horse ranch|ranch|wild mustang,English,2.35,1000
Martin Weisz,89,7,Horror,Jeff Kober,49721,Jacob Vargas,0,desert|fight|hill|murder|mutant,English,2.35,0
John Ottman,97,83,Horror|Mystery|Thriller,Loretta Devine,13048,Jacinda Barrett,2,film set|movie set|sequel|slow motion|urban legend,English,2.35,243
Jay Russell,90,13,Drama|Family|Fantasy|Romance,William Hurt,17983,Jonathan Jackson,2,fountain of youth|immortality|secret|woods|young man,English,2.35,0
John Bonito,92,8,Action|Drama|Thriller,Kelly Carlson,27486,Drew Powell,1,beating|marine|muscleman|tied up|tough guy,English,1.85,0
Peter Atencio,100,10,Action|Comedy,Nia Long,15385,Keegan-Michael Key,2,car chase|gangsta|gun fight|hitman|kitten,English,2.35,0
Shana Feste,117,19,Drama|Music,Leighton Meester,14814,Tim McGraw,4,country music|panties|pink panties|relapse|songwriter,English,2.35,0
David Nutter,84,119,Horror|Mystery|Sci-Fi|Thriller,Bruce Greenwood,17328,Katharine Isabelle,3,blue ribbon|high school|jacket|jock|yogurt,English,1.85,673
Derek Cianfrance,140,310,Crime|Drama|Thriller,Ryan Gosling,187170,Angelo Anthony Pizza,3,bank|carnival|motorcycle|police|rookie cop,English,2.35,47000
Roger Donaldson,108,79,Action|Crime|Thriller,Luke Bracey,50056,Will Patton,2,critically bashed|premarital sex|sex scene|sex standing up|stripper,English,2.35,0
Stephan Elliott,109,11,Drama|Mystery|Thriller,Jason Priestley,13320,Geneviève Bujold,1,chicago illinois|false identity|femme fatale|new york city|spying,English,2.35,327
Kathryn Bigelow,131,0,Drama|History|Thriller|War,Jeremy Renner,332065,Brian Geraghty,0,army|bomb|dangerous job|death|iraq,English,1.85,16000
Mark L. Lester,114,73,Action|Horror|Sci-Fi|Thriller,Heather Locklear,22797,David Keith,1,captain|experiment|fire|psychic|secret government agency,English,2.35,0
Andrew Dominik,97,181,Crime|Thriller,Brad Pitt,111625,Ben Mendelsohn,1,exploding car|hit by a car|poker game|punched in the face|shot to death,English,2.35,20000
Anton Corbijn,122,210,Crime|Drama|Thriller,Philip Seymour Hoffman,57210,Homayoun Ershadi,3,intelligence|intelligence agency|secret service|surveillance camera|war on terror,English,2.35,13000
Tom Green,87,374,Comedy,Rip Torn,39788,Eddie Kaye Thomas,1,animator|bamboo cane|cartoonist|sausage|slacker,English,1.85,0
Mike Nawrocki,85,12,Adventure|Animation|Comedy|Family,Yuri Lowenthal,2037,Phil Vischer,0,17th century|king|pirate|vegetable|waiter,English,1.85,175
Catherine Owens,85,0,Documentary|Music,Bono,2673,Larry Mullen Jr.,0,3d in title|digit in title|rock band|rocker|u2,English,1.78,116
Douglas Aarniokoski,101,36,Action|Adventure|Fantasy|Sci-Fi,Christopher Lambert,16340,Adam Copeland,1,battle|explosion|immortal|revenge|sequel to cult film,English,2.35,356
Bryan Barber,121,16,Crime|Drama|Musical|Romance,Cicely Tyson,4603,Bobb'e J. Thompson,4,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,English,2.35,489
Lone Scherfig,107,92,Drama|Romance,Anne Hathaway,106111,Rafe Spall,0,23 year time span|accidental death|best friend|loss of loved one|male female friendship,English,2.35,49000
Drew Barrymore,111,0,Drama|Sport,Daniel Stern,55665,Alia Shawkat,1,beauty pageant|friend|pageant|roller derby|texas,English,2.35,10000
Brian Koppelman,92,34,Crime|Drama|Thriller,Vin Diesel,19768,Kevin Gage,1,mob|mobster|money|montana|sheriff,English,2.35,566
James Foley,97,164,Crime|Thriller,Louis Lombardi,30643,Leland Orser,3,con|grifter|lap dance|organized crime|shot in the forehead,English,2.35,622
Albert Brooks,97,745,Comedy,Jeff Bridges,9294,Albert Brooks,2,directed by star|muse|satire|screenwriter|tiffany's,English,1.37,251
Irwin Winkler,125,34,Biography|Drama|Music|Musical,Kevin McNally,9649,Sandra Nelson,7,cole porter|composer|love|party|tears,English,2.35,1000
Woody Allen,124,11000,Comedy|Drama|Romance,Woody Allen,13692,Mia Farrow,0,12 year old|artist|hotel|three word title|written and directed by cast member,English,1.85,877
Steve Gomer,76,9,Adventure|Family,Trevor Morgan,2724,Shirley Douglas,0,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,English,1.85,436
RZA,107,561,Action,Rick Yune,53471,Daniel Wu,3,blacksmith|box office flop|chop socky|critically bashed|village,English,2.35,29000
Dean Parisot,91,23,Comedy|Drama|Romance,Catherine O'Hara,7159,Shelley Duvall,2,baby|infidelity|pilot|pregnant|waitress,English,1.85,247
Mark Piznarski,96,4,Drama|Romance,Bruce Greenwood,7403,Elaine Hendrix,1,diner|love|private school|school|small town,English,1.85,648
Terry Gilliam,142,0,Drama|Sci-Fi,Robert De Niro,152306,Jim Broadbent,0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,English,1.85,16000
Sean McNamara,103,80,Family|Music|Romance,Oliver James,22649,Jason Ritter,0,music school|scholarship|small town|stage fright|three word title,English,2.35,1000
,60,,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,7122,Chris Bruno,1,psychic|psychic power|psychometry|spin off|supernatural power,English,,576
Joel Coen,117,0,Comedy|Crime,Philip Seymour Hoffman,537419,Steve Buscemi,1,death|drug|nihilism|rug|white russian,English,1.85,35000
Craig Brewer,116,153,Drama|Music,Justin Timberlake,52421,S. Epatha Merkerson,0,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,English,2.35,0
Ron Shelton,118,41,Crime|Drama|Romance|Thriller,Khandi Alexander,17261,Michael Michele,1,corrupt|criminal|investigation|lapd|police,English,2.35,455
Michael Winterbottom,108,187,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,24150,Dan Futterman,0,fbi|journalist|missing|pakistan|reporter,English,2.35,923
David Raynr,94,9,Comedy|Drama|Romance,James Franco,8055,Marla Sokoloff,4,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,English,1.85,816
Mort Nathan,97,2,Comedy,Vivica A. Fox,26598,Bob Gunton,4,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,English,1.85,1000
Oliver Parker,97,32,Comedy|Drama|Romance,Colin Firth,18966,Rupert Everett,5,comedy of manners|false identity|farce|love|period drama,English,2.35,0
Dan Curtis,99,45,Fantasy|Romance,Jennifer Jason Leigh,1465,Estelle Parsons,1,antique|desk|letter|love|time travel,English,1.33,515
Wil Shriner,91,6,Adventure|Comedy|Family,Logan Lerman,6562,Tim Blake Nelson,0,fight|florida|montana|owl|school,English,1.85,647
Martin McDonagh,107,454,Comedy|Crime|Drama,Elizabeth Berrington,307639,Eric Godon,1,bruges|bullet|hope|irish|tourist,English,2.35,32000
Tina Gordon Chism,95,24,Comedy|Romance,Tyler James Williams,4065,Diahann Carroll,6,african american,English,2.35,0
Peter Cattaneo,102,11,Comedy|Music,Emma Stone,32311,Josh Gad,4,20 years later|drummer|hdtv|rock band|rock star,English,1.85,0
Vicky Jenson,88,96,Comedy|Romance,J.K. Simmons,11498,Bobby Coleman,1,graduation|graduation speech|title directed by female|tv studio|unemployment,English,1.85,0
Gus Van Sant,106,835,Drama,Matt Damon,30284,Terry Kinney,1,corporate greed|corporation|natural gas|salesman|small town,English,1.85,10000
Woody Allen,92,11000,Comedy|Romance,Larry David,58967,Conleth Hill,1,atheist|limp|quantum mechanics|religion|runaway,English,1.85,10000
Mary Lambert,105,52,Drama|Mystery|Thriller,Matthew Settle,3668,A.J. Buckley,4,clique|country club|female protagonist|lip gloss|title directed by female,English,1.85,157
Tommy Lee Jones,107,0,Adventure|Crime|Drama|Mystery|Western,Levon Helm,34194,Guillermo Arriaga,2,cemetery|friend|journey|mexico|promise,English,2.35,0
Peter Kassovitz,120,0,Drama|War,Robin Williams,12601,Michael Jeter,2,german|ghetto|hope|nazi|radio,English,1.85,0
Shane Black,103,1000,Comedy|Crime|Mystery,Robert Downey Jr.,175962,Larry Miller,2,actor|detective sergeant|hotel|nightclub|thief,English,2.35,0
Rodman Flender,92,6,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,33745,Elden Henson,0,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,English,1.85,0
David Lynch,147,0,Drama|Mystery|Thriller,Naomi Watts,235992,Laura Harring,1,amnesia|car accident|female protagonist|lesbian sex|loss of memory,English,1.85,16000
Katja von Garnier,98,18,Drama|Fantasy|Horror|Romance,Olivier Martinez,15388,Chris Geere,0,colorado|love|murder|rocky mountains|werewolf,English,2.35,0
Woody Allen,98,11000,Comedy|Drama|Romance,Anthony Hopkins,36145,Ewen Bremner,0,call girl|charlatan|fortune teller|manuscript|writer,English,1.85,0
Mark Romanek,103,132,Drama|Romance|Sci-Fi,Andrew Garfield,109873,Charlotte Rampling,0,boarding school|childhood|love|love triangle|organ donation,English,2.35,33000
,286,,Drama|History|Thriller,Anna Silk,3828,Alessandro Nivola,3,cia|mole|revolution|spy|ussr,English,1.78,733
Brad Anderson,111,122,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,42792,Mac McDonald,0,35 mm digital camera|drugs|murder|train|travel,English,2.35,0
Michael Chapman,98,70,Adventure|Drama|Fantasy,Curtis Armstrong,4996,Mike Muscat,0,cave bear|cro magnon|neanderthal|survival|tradition,English,2.35,843
Antonio Banderas,111,0,Comedy|Crime|Drama,Meat Loaf,5917,Noah Emmerich,0,abusive husband|alabama|boy|dream|sheriff,English,2.35,391
Michael Haneke,111,0,Crime|Drama|Horror|Thriller,Naomi Watts,69569,Brady Corbet,0,breaking the fourth wall|looking at the camera|remake|serial killer|violence,English,1.85,0
Khalil Sullins,100,5,Drama|Sci-Fi|Thriller,Thomas Stroppel,1933,Amber Marie Bollinger,0,divorce papers|fainting|mind control|playground|technology,English,2.35,708
Atom Egoyan,116,460,Drama|Thriller,Bob Hoskins,6690,Gerard McSorley,0,caterer|catering|chef|friend|lawn mower,English,2.35,284
Fritz Lang,145,756,Drama|Sci-Fi,Brigitte Helm,111841,Rudolf Klein-Rogge,1,art deco|bible quote|dance|silent film|worker,German,1.33,12000
Pierre Morel,84,180,Action|Crime|Thriller,David Belle,55928,Dany Verissimo-Petit,2,bomb|gang|police|sister|undercover cop,French,2.35,0
Gary Fleder,115,39,Crime|Drama,Steve Buscemi,22345,Treat Williams,2,death|finger gun|video message|what happened to epilogue|wheelchair,English,1.85,0
Hsiao-Hsien Hou,105,141,Action|Drama,Qi Shu,9427,Satoshi Tsumabuki,1,black magic|china|love|refusal to kill|wuxia,Mandarin,1.37,0
Gregor Jordan,98,34,Comedy|Crime|Drama|Thriller|War,Dean Stockwell,20730,Leon,1,berlin wall|germany|murder|soldier|specialist,English,2.35,664
Andrey Zvyagintsev,99,445,Drama|Mystery|Thriller,Konstantin Lavronenko,31589,Nataliya Vdovina,0,boy|photograph|return|russian|wilderness,Russian,1.85,0
Tony Jaa,110,0,Action,Nirut Sirichanya,24570,Sarunyu Wongkrachang,0,cult film|elephant|jungle|martial arts|stylized violence,Thai,2.35,0
Neil Marshall,97,197,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,64777,Dave Legeno,0,mushroom|mute|roman soldier|screaming|wood carving,English,2.35,0
Russell Mulcahy,88,85,Action|Drama|Thriller,Christopher Heyerdahl,2699,Conrad Dunn,0,assassin|die hard scenario|rangefinder|soldier|veteran,English,2.35,154
Ryûhei Kitamura,103,129,Fantasy|Horror|Mystery,Bradley Cooper,47574,Leslie Bibb,0,butcher|girlfriend|mute character|photographer|subway,English,2.35,0
Darrell Roodt,104,36,Biography|Drama|History,Jennifer Hudson,609,Aubrey Poo,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,English,,705
Dito Montiel,90,68,Crime|Drama|Thriller,Channing Tatum,14280,Tracy Morgan,5,housing project|letter|man with glasses|murder|subjective camera,English,2.35,0
Stefan Ruzowitzky,105,24,Action|Comedy|Drama|War,Eddie Izzard,2236,Edward Fox,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,English,2.35,193
Jake Paltrow,93,17,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,7519,Keith Allen,1,commercial|dream|dreaming|girl|new york city,English,1.85,445
Juraj Jakubisko,141,15,Biography|Drama|Fantasy|History,Anna Friel,3425,Franco Nero,1,bathory|countess|female protagonist|legend|virgin blood,English,2.35,0
Anthony Silverston,85,0,Adventure|Animation|Family,Liam Neeson,4006,Loretta Devine,0,herd|ostrich|waterhole|wildebeest|zebra,English,,0
Gabe Ibáñez,109,19,Action|Sci-Fi|Thriller,Birgitte Hjort Sørensen,41638,Melanie Griffith,0,child hitman|dystopia|future|robot|self repair,English,2.35,13000
Gerry Lively,105,93,Action|Adventure|Fantasy,Bruce Payne,5018,Steven Elder,0,combat|helmet|martial arts|medieval times|violence,English,1.78,473
Daniele Luchetti,98,6,Biography,Maximilian Dirr,80,Ferdinando Vetere,0,,Spanish,,18
