num_critic_for_reviews,duration,actor_1_facebook_likes,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,actor_2_facebook_likes,imdb_score
172,133,40000,Johnny Depp,The Ninth Gate ,1,bare butt|gnosticism|lucifer|rare book|sex,638,R,903,6.7
47,118,24000,J.K. Simmons,Extreme Measures ,0,cartoon on tv|doctor|emergency room|hospital|nudity,75,R,210,6.1
107,105,628,Beth Grant,Rock Star ,0,cover band|fired from a job|heavy metal|rock star|tribute band,191,R,316,6.2
323,109,940,Mo'Nique,Precious ,0,abuse|african american lesbian|lesbian|lesbian couple|school,275,R,906,7.3
37,129,12000,Jeff Bridges,White Squall ,4,acrophobia|jamaica|male bonding|prostitute|tragedy,89,PG-13,1000,6.6
297,109,957,Wilford Brimley,The Thing ,0,alien creature|alien life form|antarctica|isolation|paranoia,911,R,163,8.2
302,127,14000,Vin Diesel,Riddick ,0,alien|left for dead|mercenary|survival|vomiting,343,R,924,6.4
38,118,37,Gregory Scott Cummins,Switchback ,1,deputy|fbi agent|knife held to throat|serial killer|sheriff,81,R,12,6.4
31,110,1000,Tom Skerritt,Texas Rangers ,2,army|mexican|orphan|texas|texas ranger,67,PG-13,569,5.2
118,90,13000,Bill Murray,City of Ember ,0,box|food|mayor|pipeworks|scientist,102,PG,2000,6.5
546,144,378,Mike Howard,The Master ,31,drifter|past life regression|psychological testing|right hand man|scientology,405,R,18,7.1
21,97,4000,Hayden Christensen,Virgin Territory ,2,breasts|nude nun|plague|russian nobleman|two word title,28,R,476,4.8
86,130,2000,Dennis Quaid,The Express ,0,african american|coach|football movie|nonlinear timeline|syracuse university,45,PG,898,7.3
194,112,17000,Chloë Grace Moretz,The 5th Wave ,0,alien|attack|based on novel|based on young adult novel|fear,266,PG-13,1000,5.2
437,133,13000,Sylvester Stallone,Creed ,1,boxing|boxing match|fight|montage|philadelphia,362,PG-13,597,7.7
378,150,10000,Jeremy Renner,The Town ,7,bank manager|bank robbery|criminal gang|heist|prison,420,R,4000,7.6
170,110,10000,Anna Kendrick,What to Expect When You're Expecting ,12,baby|expecting twins|hawaiian shirt|photographer|pregnancy,89,PG-13,2000,5.7
341,96,24000,J.K. Simmons,Burn After Reading ,0,cia|divorce|embassy|gym|memoir,545,R,11000,7.0
139,96,18000,Gerard Butler,Nim's Island ,3,author|girl|island|reading|scientist,110,PG,82,6.0
393,123,26000,Chris Hemsworth,Rush ,0,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,475,R,10000,8.1
224,188,786,Patton Oswalt,Magnolia ,1,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,1437,R,625,8.0
203,107,13000,Bruce Willis,Cop Out ,2,baseball card|detective|partner|thief|wedding,176,R,642,5.6
148,110,2000,Alison Brie,How to Be Single ,4,motor scooter|new york city|newborn baby|scooter|single,83,R,756,6.1
131,113,11000,Morgan Freeman,Dolphin Tale ,5,boy|dolphin|prosthetics|tail|trap,86,PG,680,6.9
350,122,17000,Kristen Stewart,Twilight ,1,blood|high school|love|school|vampire,1535,PG-13,12000,5.2
129,116,18000,Denzel Washington,John Q ,1,health care|heart transplant|hospital|hostage|insurance,394,PG-13,669,7.0
40,93,789,Peter Greene,Blue Streak ,1,detective|diamond|jewel|police|thief,144,PG-13,744,6.3
289,118,740,Laura-Leigh,We're the Millers ,4,fake family|male frontal nudity|marijuana|mexico|stripper,301,R,707,7.0
14,115,463,Yuliya Snigir,Obitaemyy ostrov ,0,22nd century|first part|friend|guard|space opera,21,,35,5.3
72,93,551,Kathleen Quinlan,Breakdown ,0,car breakdown|diner|jeep|paranoia|violence,218,R,284,6.9
89,121,180,Bernie Casey,Never Say Never Again ,3,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,214,PG,172,6.2
265,101,496,Charlie McDermott,Hot Tub Time Machine ,8,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,243,R,390,6.4
54,107,11000,Morgan Freeman,Dolphin Tale 2 ,0,dolphin|latex gloves|medical scrubs|purple gloves|turtle,33,PG,641,6.4
126,124,9000,Charlize Theron,Reindeer Games ,0,casino|christmas|christmas season|girlfriend|release from prison,212,R,1000,5.7
110,109,14000,Vin Diesel,A Man Apart ,0,bust|dea|drug cartel|justice|tragic hero,135,R,919,6.1
138,105,15000,Emma Stone,Aloha ,1,box office flop|critically bashed|hawaii|one word title|written by director,172,PG-13,14000,5.4
31,130,2000,Alexa PenaVega,Ghosts of Mississippi ,0,activist|assassin|civil rights|trial|widow,57,PG-13,912,6.7
95,127,746,Rick Yune,Snow Falling on Cedars ,1,fisherman|japanese|love|trial|washington state,194,PG-13,602,6.8
267,114,12000,Anthony Hopkins,The Rite ,1,demon|exorcism|exorcist|faith|seminary,197,PG-13,3000,6.0
175,106,685,Blair Underwood,Gattaca ,2,accident|future|genetics|mission|police,641,PG-13,485,7.8
63,95,944,Stockard Channing,Isn't She Great ,0,autistic son|cancer|female protagonist|new york city|son,64,R,886,5.3
85,81,541,Cheryl Hines,Space Chimps ,0,astronaut|attacked by a plant|planet|senator|space travel,45,G,521,4.5
44,95,1000,Bernie Mac,Head of State ,1,alderman|party|president|presidential candidate|washington d.c.,80,PG-13,812,5.4
334,108,14000,Bradley Cooper,The Hangover ,3,drunkenness|female nudity|hangover|hedonism|morning after,626,R,839,7.8
78,105,461,Mike Tyson,Ip Man 3 ,0,1950s|cancer|hong kong|martial arts school|wing chun,45,PG-13,79,7.2
199,95,45000,Muse Watson,Austin Powers: The Spy Who Shagged Me ,1,penis joke|phallic image|sexy agent|spy|volcano hideout,784,PG-13,645,6.6
186,126,920,Michael Gough,Batman ,0,city|dc comics|gotham|pantyhose|police,817,PG-13,549,7.6
77,102,877,Jordi Mollà,There Be Dragons ,0,dying|forgiveness|saint|spanish civil war|starts with narration,53,PG-13,794,5.9
68,121,808,Rene Russo,Lethal Weapon 3 ,2,gangster|gun|internal affairs|police|police officer,136,R,277,6.7
261,129,768,Catherine Dyer,The Blind Side ,0,american football|based on true story|football star|high school football|left tackle,420,PG-13,734,7.7
5,43,778,Jon Foo,Rush Hour             ,2,,30,TV-14,618,5.8
122,88,2000,Alexa PenaVega,Spy Kids ,0,brother sister relationship|espionage|rescue|secret agent|spy,205,PG,843,5.4
340,106,18000,Kevin Spacey,Horrible Bosses ,5,black comedy|boss|chemical company|dental assistant|murder,387,R,464,6.9
493,110,13000,Matt Damon,True Grit ,0,arkansas|murder|sheriff|texas ranger|u.s. marshal,724,PG-13,12000,7.7
208,109,11000,Meryl Streep,The Devil Wears Prada ,0,fashion|fashion industry|magazine|new york city|publishing,631,PG-13,11000,6.8
134,143,12000,Leonard Nimoy,Star Trek: The Motion Picture ,2,alien|space|space station|spacecraft|warp speed,405,PG,664,6.4
275,120,4000,Jon Favreau,Identity Thief ,2,bounty hunter|credit card|cross country|identity|police,232,R,904,5.7
120,128,22000,Robert De Niro,Cape Fear ,0,lawyer|neo noir|prison|rapist|southern gothic,261,R,1000,7.3
144,123,18000,Kevin Spacey,21 ,2,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,278,PG-13,5000,6.8
332,129,492,Amy Schumer,Trainwreck ,1,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,309,R,392,6.3
104,105,1000,Bernie Mac,Guess Who ,2,argument|engagement|family relationships|love|undressing,160,PG-13,358,5.9
116,162,14000,Colin Firth,The English Patient ,0,church|english|flashback|nurse|patient,457,R,1000,7.4
177,138,18000,Kevin Spacey,L.A. Confidential ,2,1950s|call girl|corruption|murder|police detective,625,R,398,8.3
127,100,947,Michael Angarano,Sky High ,3,coming of age|friend|high school|sidekick|superpower,217,PG,742,6.2
83,90,19000,Tom Selleck,In & Out ,0,academy award|gay|high school|reporter|teacher,138,PG-13,957,6.3
97,108,900,Natasha Henstridge,Species ,0,alien|interspecies sex|scientist|sexual attraction|train,140,R,759,5.8
256,101,40000,Johnny Depp,A Nightmare on Elm Street ,1,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,668,X,852,7.5
225,109,812,Dylan Baker,The Cell ,1,coma|fbi|race against time|serial killer|strong female lead,677,R,551,6.3
83,132,29000,Leonardo DiCaprio,The Man in the Iron Mask ,1,france|musketeer|three musketeers|twin|twin brother,244,PG-13,130,6.4
160,123,826,Scott Glenn,Secretariat ,0,eccentric|horse racing|newspaper clipping|stallion|triple crown,136,PG,638,7.2
191,87,11000,Chris Evans,TMNT ,0,martial arts master|monster|new york city|turtle|warrior,211,PG,4000,6.3
74,109,1000,Alfre Woodard,Radio ,1,coach|football|football coach|high school|radio,196,PG,762,6.9
238,109,15000,Mila Kunis,Friends with Benefits ,2,blow job|female rear nudity|girl in panties|male objectification|no panties,194,R,3000,6.6
177,92,17000,Chloë Grace Moretz,Neighbors 2: Sorority Rising ,0,bare chested male|gay|gay best friend|gay man|gay marriage proposal,111,R,329,6.0
405,125,15000,Tom Hanks,Saving Mr. Banks ,2,author|disney|loss of father|reference to walt disney|suppression of emotion,306,PG-13,2000,7.5
61,202,18000,Denzel Washington,Malcolm X ,0,african american|black history|civil rights|ku klux klan|nation of islam,156,PG-13,848,7.7
285,134,529,Charlyne Yi,This Is 40 ,2,40th birthday|aging|birthday|sex|viagra,248,R,130,6.2
124,88,49000,Robin Williams,Old Dogs ,2,best friend|business deal|impulse|public relations|twin,120,PG,1000,5.4
164,92,978,Craig Parker,Underworld: Rise of the Lycans ,1,battle|slave|vampire|warrior|werewolf,169,R,593,6.6
120,91,49000,Robin Williams,License to Wed ,3,box office flop|church|kissing|usa|wedding,119,PG-13,838,5.3
90,75,11000,Jon Lovitz,The Benchwarmers ,2,baseball|baseball team|bully|millionaire|team,209,PG-13,970,5.6
120,98,944,Stockard Channing,Must Love Dogs ,2,date|dating|dog|love|teacher,262,PG-13,940,5.9
117,147,40000,Johnny Depp,Donnie Brasco ,2,fbi|mafia|money|racial slur|singer,234,R,14000,7.8
226,100,14000,Milla Jovovich,Resident Evil ,0,amnesia|quarantine|special forces|virus|zombie,1138,R,2000,6.7
223,120,887,Heather O'Rourke,Poltergeist ,0,ghost|haunted|haunting|house|paranormal investigator,321,PG,770,7.4
193,104,24000,J.K. Simmons,The Ladykillers ,1,casino|irony of fate|landlady|professor|remake,400,R,15000,6.2
228,103,15000,Mila Kunis,Max Payne ,1,corporation|death|ex partner|hallucination|police detective,398,PG-13,552,5.4
360,109,20000,Matt Bomer,In Time ,2,currency|future|murder|on the run|time,463,PG-13,10000,6.7
148,104,1000,Danneel Ackles,The Back-up Plan ,0,artificial insemination|baby|cheese|chick flick|pet shop,97,PG-13,700,5.3
128,112,969,Ashley Williams,Something Borrowed ,4,best friend|crush|law school|lawyer|loud sex,153,PG-13,826,5.9
3,60,897,Jodi Lyn O'Keefe,Hit the Floor             ,4,affair|hip hop|sex scene,11,,637,7.0
46,95,1000,Tom Wilkinson,Black Knight ,1,14th century|king|knight|sword duel|time travel,164,PG-13,691,4.8
40,102,288,Tatum O'Neal,The Bad News Bears ,1,baseball|california|coach|little league|swimming pool,91,PG,257,7.3
63,102,2000,Ming-Na Wen,Street Fighter ,1,guile|hostage|ransom|soldier|united nations,282,PG-13,1000,3.8
193,150,396,Emilia Fox,The Pianist ,0,ghetto|holocaust|jewish|piano|warsaw ghetto,761,R,338,8.5
208,122,40000,Johnny Depp,From Hell ,1,freemason|jack the ripper|opium|prostitute|victorian era,541,R,1000,6.8
122,101,446,Keisha Castle-Hughes,The Nativity Story ,0,angel|bethlehem|journey|nazareth|virgin,203,PG,224,6.8
228,108,730,Robert Ri'chard,House of Wax ,0,brother sister relationship|group of friends|male nudity|twin|wax,576,R,716,5.3
212,98,20000,Natalie Portman,Closer ,2,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,903,R,8000,7.3
392,137,29000,Leonardo DiCaprio,J. Edgar ,0,agent|fbi|federal bureau of investigation|gay relationship|secret,279,R,6000,6.6
208,112,1000,Jason Flemyng,Mirrors ,0,estranged wife|evil|fire|medication|mirror,232,R,915,6.2
137,101,775,Aaliyah,Queen of the Damned ,2,fatal attraction|interspecies romance|queen|supernatural power|vampire,695,R,541,5.2
119,103,2000,Adam Baldwin,Predator 2 ,0,alien|drug lord|gang|hunter|predator,291,R,683,6.2
195,101,2000,Billy Burke,Untraceable ,1,cat|fbi agent|murder|serial killer|website,245,R,648,6.2
95,112,3000,Brendan Fraser,Blast from the Past ,0,1960s|bomb shelter|cuban missile crisis|food|naive man,239,PG-13,874,6.6
100,111,591,Brian Blessed,Flash Gordon ,1,american football|cult film|emperor|flash gordon|mind reading,247,PG,488,6.4
164,102,939,Stephen Root,Jersey Girl ,5,baby|childbirth|death|karma|publicist,358,PG-13,854,6.2
211,101,907,Cicely Tyson,Alex Cross ,0,assassin|detective|partner|police|serial killer,151,PG-13,445,5.1
91,155,18000,Kevin Spacey,Midnight in the Garden of Good and Evil ,2,graveyard|murder|murder trial|reporter|trial,216,R,461,6.6
44,93,22000,Robert De Niro,Heist ,1,bus|die hard scenario,57,R,1000,6.1
97,109,287,Daniel Mays,Nanny McPhee Returns ,5,farm|magic|mother daughter relationship|overalls|title directed by female,59,PG,175,6.1
32,140,436,Frank Whaley,Hoffa ,2,labor|labor union|leader|mafia|union,68,R,263,6.6
270,108,826,Mitch Pileggi,The X Files: I Want to Believe ,0,fbi|priest|psychic|psychic vision|staff physician,492,PG-13,716,5.9
89,96,11000,Anne Hathaway,Ella Enchanted ,1,curse|fairy|obedience|prince|strong female character,244,PG,1000,6.3
219,123,10000,Will Smith,Concussion ,0,chronic traumatic encephalopathy|concussion|football|football player|pathologist,138,PG-13,979,7.1
180,106,327,Ken Arnold,Abduction ,1,assassin|high school|on the run|teenager|website,173,PG-13,73,5.0
93,76,1000,Jim Broadbent,Valiant ,0,dove|falcon|nursing|pigeon|psychological torture,80,G,766,5.6
173,107,21000,Robert Downey Jr.,Wonder Boys ,5,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,335,R,826,7.4
121,82,1000,Drake Bell,Superhero Movie ,6,dragonfly|hero|high school|soaking wet|supervillian origin,173,PG-13,642,4.5
298,109,1000,Alona Tal,Broken City ,3,election|father son relationship|fellatio|gay slur|title spoken by character,134,R,412,6.2
158,99,1000,Shannon Elizabeth,Cursed ,0,creature|death|party|rescue|werewolf,325,PG-13,573,5.0
248,91,23000,Joseph Gordon-Levitt,Premium Rush ,0,chase|courier|delivery|envelope|police,178,PG-13,1000,6.5
155,87,472,Jim Gaffigan,Hot Pursuit ,2,danger|drug cartel|female cop|female police officer|fugitive,118,PG-13,328,5.1
105,125,3000,Djimon Hounsou,The Four Feathers ,2,male nudity|naked dead man|nudity|sex|whipping,215,PG-13,61,6.5
224,118,26000,Jason Statham,Parker ,0,action hero|disguise|hospital|real estate agent|thief,141,R,968,6.2
129,98,4000,Kirsten Dunst,Wimbledon ,1,career|player|tennis|tennis player|wimbledon,173,PG-13,4000,6.3
101,92,3000,Brendan Fraser,Furry Vengeance ,1,animal|bear|land developer|real estate|real estate developer,84,PG,1000,3.8
145,93,465,Alex Russell,Bait ,1,great white shark|shark|supermarket|swimming|tsunami,82,R,351,5.2
57,116,14000,Liam Neeson,Krull ,1,cyclops|fortress|monster|planet|rescue,178,PG,192,6.0
227,92,11000,Meryl Streep,Lions for Lambs ,3,afghanistan|professor|reporter|student|university,298,R,10000,6.2
13,115,605,Rosanna Arquette,Flight of the Intruder ,3,bombardier|pilot|u.s. navy|vietnam|vietnam war,39,PG-13,367,5.7
171,120,553,Tim Meadows,Walk Hard: The Dewey Cox Story ,1,drugs|elvis|musician|singer|the beatles,200,R,214,6.7
119,111,18000,Kevin Spacey,The Shipping News ,3,employee employer relationship|husband wife relationship|newspaper|ship|wake,208,R,826,6.8
44,94,694,Gregory Smith,American Outlaws ,2,legend|old west|outlaw|railroad|stealing from the rich,162,PG-13,605,6.0
188,100,2000,Michiel Huisman,The Young Victoria ,1,19th century|courtship|female protagonist|princess|queen of england,100,PG,1000,7.3
166,101,1000,Tom Skerritt,Whiteout ,1,antarctica|geologist|investigation|u.s. marshal|winter,142,R,603,5.5
584,139,11000,Brad Pitt,The Tree of Life ,0,1950s|children|ice cube|texas|waco texas,975,PG-13,1000,6.7
67,91,635,Paul Sorvino,Knock Off ,0,cia|hong kong|market|undercover|van,141,R,316,4.8
233,109,1000,Mireille Enos,Sabotage ,3,dea|drug cartel|kicked in the crotch|strip club|tough girl,212,R,206,5.7
112,102,13000,Heath Ledger,The Order ,1,death|exorcism|heaven|priest|sin eater,204,R,891,5.1
151,103,3000,Julie Benz,Punisher: War Zone ,1,gun fu|plastic surgery|psychopath|undercover|vigilante,280,R,967,6.0
63,83,2000,Kevin Zegers,Zoom ,5,bruise|female hero|super strength|superhero|teenage superhero,113,PG,826,4.2
335,123,23000,Joseph Gordon-Levitt,The Walk ,0,1970s|based on true story|new york city|skyscraper|tightrope walker,195,PG,22,7.4
24,101,690,Marley Shelton,Warriors of Virtue ,0,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,31,PG,457,4.6
147,117,883,Archie Panjabi,A Good Year ,1,based on novel|inheritance|provence|uncle|wine,196,PG-13,883,6.9
51,60,2000,Ruth Wilson,Luther             ,1,murder|police|psychopath,105,TV-MA,729,8.6
10,114,2000,Adam Baldwin,Radio Flyer ,3,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,71,PG-13,864,6.9
12,330,848,Delroy Lindo,Blood In, Blood Out ,2,1970s|1980s|barrio|gang war|mexican,129,R,674,8.0
50,121,1000,Jim Broadbent,Smilla's Sense of Snow ,1,boy|greenland|neighbor|roof|snow,99,R,1000,6.4
149,114,548,Peter Coyote,Femme Fatale ,1,ambassador|cannes|identity|suicide|thief,232,R,298,6.3
24,156,695,Oliver Reed,Lion of the Desert ,0,arab|general|libya|muslim|mussolini,55,PG,279,8.4
28,135,837,Olivier Martinez,The Horseman on the Roof ,1,austrian|breasts|cholera|police|provence,25,R,541,7.1
95,148,3,Jeremy W. Auman,Ride with the Devil ,0,bushwhacker|friend|honor|kansas|raid,159,R,2,6.8
288,148,30,Maricel Álvarez,Biutiful ,0,children|chinese|illegal immigrant|immigrant|male ponytail,127,R,9,7.5
10,109,621,Tamsin Egerton,The Lovers ,3,1770s|british india|great barrier reef|india|ring,15,R,525,4.5
58,93,4000,Salma Hayek,Bandidas ,2,bank|cleavage|farmer|female gunfighter|mexico,76,PG-13,820,5.7
,,970,Bill Cobbs,Black Water Transit ,0,based on novel,,,856,7.2
297,113,988,Ki Hong Lee,The Maze Runner ,0,based on novel|concrete wall|maze|open ended|teenage boy,524,PG-13,149,6.8
90,91,1000,Tom Wilkinson,Unfinished Business ,2,business trip|company|glory hole|male frontal nudity|male nudity,89,R,249,5.4
56,139,554,Richard E. Grant,The Age of Innocence ,3,19th century|countess|lawyer|love|new york,150,PG,382,7.2
274,96,20000,Hugh Jackman,The Fountain ,0,eternity|love|mayan|tree|tree of life,915,PG-13,1000,7.3
68,102,372,David Paymer,Chill Factor ,0,colonel|ice|ice cream truck|military|u.s. army,94,R,248,5.2
98,96,12000,Nicolas Cage,Stolen ,1,bank|money|presumed dead|rescue|thief,86,R,774,5.5
256,101,6,Rumi Hiiragi,Ponyo ,0,children adventure|magical realism|sea goddess|small town|tsunami,144,G,3,7.7
117,128,989,Tiago Riani,The Longest Ride ,0,1940s|art collector|bull riding|north carolina|student,116,PG-13,970,7.1
107,109,40000,Johnny Depp,The Astronaut's Wife ,0,astronaut|electrocuted in bathtub|mission|pilot|sister,260,R,9000,5.3
52,114,818,Liam Aiken,I Dreamed of Africa ,1,dream|italian|kenya|ranch|snake,61,PG-13,649,5.6
135,105,18000,Gerard Butler,Playing for Keeps ,5,coach|soccer|soccer coach|soccer mom|soccer team,50,PG-13,2000,5.7
211,141,113,Terry Pheto,Mandela: Long Walk to Freedom ,1,africa|apartheid|nelson mandela|president|resistance,108,PG-13,98,7.1
57,195,635,Paul Sorvino,Reds ,0,cold war|cold war era|interview|russia|written and directed by cast member,127,PG,631,7.5
81,138,10000,Tom Cruise,A Few Good Men ,0,cuba|guantanamo|lance corporal|lawyer|murder,319,R,2000,7.6
107,101,2000,Michael Jai White,Exit Wounds ,0,corrupt cop|drug dealer|drugs|heroin|vice president,232,R,1000,5.5
100,99,826,Nia Long,Big Momma's House ,1,disguise|fbi|female impersonation|gender disguise|obesity,148,PG-13,436,5.1
60,85,324,Kyle Hebert,Thunder and the House of Magic ,0,,16,,15,6.3
195,89,614,Max Minghella,The Darkest Hour ,0,alien|aurora borealis|critically bashed|killing an animal|nightclub,211,PG-13,150,4.9
121,99,3000,Ryan Guzman,Step Up Revolution ,0,3 dimensional|dance|dancer|dancing|flash mob,72,PG-13,594,6.5
285,105,852,Lin Shaye,Snakes on a Plane ,0,baby rattle|famous line|murder|passenger|snake,1033,R,521,5.6
103,97,18000,Keanu Reeves,The Watcher ,0,fbi|murder|scene of the crime|serial killer|therapy,181,R,223,5.3
192,140,669,Laura Harring,The Punisher ,1,death|family reunion|fbi|fbi agent|vigilante,622,R,403,6.5
90,118,722,Sean Pertwee,Goal! The Dream Begins ,0,barrio|border|newcastle united|party|soccer,114,PG-13,580,6.8
258,94,26000,Jason Statham,Safe ,2,bodyguard|gang war|russian|russian mafia|triad,134,R,828,6.5
56,124,11000,Angelina Jolie Pitt,Pushing Tin ,3,air traffic control|air traffic controller|female bodybuilder|job|marriage,175,R,617,6.0
197,134,11000,Harrison Ford,Star Wars: Episode VI - Return of the Jedi ,0,death star|emperor|empire|princess|rebel,647,PG,1000,8.4
254,113,165,Ryan Kruger,Doomsday ,1,cure|quarantine|scotland|virus|wall,396,R,107,6.0
299,124,14000,Kate Winslet,The Reader ,0,love|reading|teaching oneself to read|trial|war crime,370,R,388,7.6
163,98,1000,Justin Theroux,Wanderlust ,2,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,139,R,945,5.6
152,97,22000,Peter Dinklage,Elf ,1,baby|christmas spirit|elf|new york city|north pole,395,PG,11000,6.9
53,123,3000,Robert Duvall,Phenomenon ,1,brain tumor|genius|psionic power|telekinesis|terminal illness,118,PG,941,6.4
67,99,773,James Coburn,Snow Dogs ,1,dentist|dog|inheritance|race|sled dog,100,PG,664,5.1
88,101,13000,Bill Murray,Scrooged ,1,christmas|compassion|executive|ghost|redemption,159,PG-13,1000,7.0
163,92,678,Ana de la Reguera,Nacho Libre ,1,lucha libre|monastery|nun|orphan|wrestling,441,PG,635,5.7
371,131,722,Matt Lucas,Bridesmaids ,6,best friend|failure|food|job|partial female nudity,485,R,655,6.8
418,107,17000,Channing Tatum,This Is the End ,6,apocalypse|celebrity|ensemble cast|party|rapture,669,R,11000,6.7
131,103,826,Nia Long,Stigmata ,0,catholic|priest|stigmata|vatican|wound,398,R,724,6.2
98,129,22000,Robert De Niro,Men of Honor ,0,african american|amputee|navy|racial discrimination|racism,224,R,9000,7.2
119,107,23000,Paul Walker,Takers ,5,armored car|bank|falling out among thieves|heist|planning,132,PG-13,4000,6.2
133,89,49000,Robin Williams,The Big Wedding ,8,adoption|divorce|family relationships|farce|wedding,108,R,22000,5.6
88,113,918,Brandon T. Jackson,Big Mommas: Like Father, Like Son ,2,fbi agent|murder|performing arts school|scene during end credits|undercover,47,PG-13,845,4.4
522,93,15000,Jake Gyllenhaal,Source Code ,3,bomber|time|time loop|train|trapped in a time loop,571,PG-13,491,7.5
43,120,344,Illeana Douglas,Alive ,3,andes mountains|crash|death|starvation|stranded,112,R,242,7.1
224,98,8000,Logan Lerman,The Number 23 ,1,destiny|detective|imagination|murder|sex scene,383,R,912,6.4
122,105,716,Callum Rennie,The Young and Prodigious T.S. Spivet ,1,3 dimensional|cartographer|punctuation in title|smithsonian|train,28,PG,648,7.1
56,142,16000,Christopher Lee,1941 ,5,california|captain|cult film|pearl harbor|submarine,217,PG,1000,5.9
