director_name,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,language,actor_2_facebook_likes,imdb_score,aspect_ratio
Paul Greengrass,129,13000,348232,14161,1,assassin|car chase|cia|hidden truth|one against many,http://www.imdb.com/title/tt0372183/?ref_=fn_tt_tt_1,English,805,7.8,2.35
Wolfgang Petersen,936,11000,146134,23603,1,ex soldier|hijacker|hostage|president|terrorist,http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1,English,10000,6.4,2.35
Steven Soderbergh,471,11000,402645,13028,4,card dealer|casino|criminal mastermind|recruiting|ulcer,http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1,English,1000,7.8,2.35
Paul W.S. Anderson,5000,14000,88542,27694,8,box office flop|cardinal richelieu|critically bashed|duel|musketeer,http://www.imdb.com/title/tt1509767/?ref_=fn_tt_tt_1,English,8000,5.8,2.35
Genndy Tartakovsky,11000,12000,164148,37142,2,dracula|hotel|invisible man|monster|transylvania,http://www.imdb.com/title/tt0837562/?ref_=fn_tt_tt_1,English,11000,7.1,1.85
Kevin Lima,118,283,142496,662,2,fairy tale|lawyer|love|new york|prince,http://www.imdb.com/title/tt0461770/?ref_=fn_tt_tt_1,English,142,7.1,2.35
,148,544,159910,996,1,blood|cannibalism|fbi|manipulation|psychiatrist,http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1,English,183,8.6,1.78
Daniel Espinosa,820,18000,166693,36237,1,cia|cia agent|consulate|on the run|safe house,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,English,16000,6.8,2.35
Kevin Lima,439,2000,26413,4182,1,dog|parole|parole officer|prison|puppy,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,English,795,4.8,1.85
Brett Ratner,535,2000,110073,3768,5,apartment|fbi|fraud|heist|manager,http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1,English,906,6.2,2.35
Nancy Meyers,213,14000,182757,17423,3,book|composer|house|love|self esteem,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,English,3000,6.9,1.85
Tony Scott,619,10000,188116,11951,4,congressman|lawyer|nsa|on the run|surveillance,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,English,660,7.3,2.35
Nancy Meyers,963,11000,69860,15226,2,affair|divorce|graduation|vomiting|watching television,http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1,English,2000,6.6,1.85
Steven Soderbergh,11000,14000,256928,43499,3,casino|heist|manmade earthquake|revenge|tunnel boring machine,http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1,English,13000,6.9,2.35
Roger Allers,624,4000,65270,6081,1,bear|deer|forest|grizzly bear|hunter,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,English,650,6.2,1.85
Neil Burger,1000,14000,341058,22226,2,army|brother sister relationship|dystopia|father son relationship|narrated by character,http://www.imdb.com/title/tt1840309/?ref_=fn_tt_tt_1,English,5000,6.7,2.35
Jean-Jacques Annaud,29,5000,188887,5103,1,battle|german|russian|sniper|stalingrad,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,English,35,7.6,2.35
Peter Berg,557,12000,82731,16930,1,amazon|bounty hunter|fight|hunter|jungle,http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1,English,3000,6.7,2.35
John McTiernan,330,670,106528,2407,1,action hero|hero|magic|ticket|video store,http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1,English,442,6.2,2.35
Rob Marshall,210,879,119286,2380,1,coming of age|geisha|japan|jealousy|love,http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1,English,691,7.3,2.35
Justin Lin,159,584,179500,1235,5,car|challenge|drift racing|drifting|tokyo japan,http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1,English,227,6.0,2.35
Sarah Smith,561,1000,35446,2707,1,christmas|christmas eve|elf|high tech|resentment,http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1,English,579,7.1,1.85
Martin Brest,551,12000,169023,23950,0,birthday|death|death personified|fear of death|wealth,http://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1,English,11000,7.1,1.85
Andrew Davis,172,672,61417,1460,1,bare chested boy|car explosion|colombia|explosion|terrorism,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1,English,174,5.5,1.85
Bob Fosse,87,813,19228,1476,0,dancer|editing|stand up comedian|surgery|vomiting,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,English,388,7.8,1.85
Tarsem Singh,809,8000,70838,11454,1,kingdom|prince|princess|queen|snow,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1,English,886,5.6,1.85
Edgar Wright,719,10000,273921,12687,0,band|dating|high school|hipster|rock band,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1,English,1000,7.5,1.85
Jon Amiel,106,894,77029,1439,0,core|earth|natural disaster|pacemaker|scientist,http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1,English,345,5.4,2.35
Peter Segal,571,611,39391,2818,1,alter ego|marriage|professor|scientist|serum,http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1,English,592,4.3,1.85
Raja Gosnell,271,4000,71424,6355,3,amusement park|island|motorcycle|scooby doo|tough girl,http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1,English,2000,4.9,1.85
Pete Travis,20,409,203458,578,0,brutality|dark humor|female antagonist|female warrior|post apocalypse,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,English,107,7.1,2.35
Frank Coraci,233,11000,246492,12700,1,architect|frozen time|obese man|remote control|stopped time,http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1,English,1000,6.4,1.85
George A. Romero,602,875,29932,2662,0,anthology|child abuse|critically acclaimed|death|grindhouse,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,English,826,6.9,1.85
Brad Peyton,615,975,10233,3326,0,cartoon on tv|cat|dog|kitty|special agent,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1,English,760,4.3,1.85
Doug Liman,521,17000,243053,21863,0,bank|based on novel|ice|teleportation|vault,http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1,English,4000,6.1,2.35
Guillermo del Toro,160,3000,208422,3632,0,creature|elf|prince|rebellion|superhero,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1,English,169,7.0,1.85
David Fincher,495,21000,301279,36928,0,cartoonist|reporter|serial killer|zodiac|zodiac killer,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,English,15000,7.7,2.35
Roger Spottiswoode,956,3000,100001,5839,1,clone|cloning|future|laser gun|murder,http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1,English,975,5.9,2.35
Tom Shadyac,1000,11000,296904,21276,1,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,English,7000,6.7,1.85
Sylvester Stallone,5000,26000,270226,46355,9,action hero|assassination attempt|explosion|machine gun|rescue mission,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,English,13000,6.5,2.35
Brian De Palma,898,10000,300542,12760,0,disguise|mission|spy|stealing|traitor,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,English,1000,7.1,2.35
Gary Ross,575,34000,701607,49942,0,fight to the death|game|massacre|self survival|suicide attempt,http://www.imdb.com/title/tt1392170/?ref_=fn_tt_tt_1,English,14000,7.3,2.35
Todd Phillips,461,14000,375879,16143,0,hotel|male frontal nudity|pubic hair|thailand|wedding,http://www.imdb.com/title/tt1411697/?ref_=fn_tt_tt_1,English,670,6.5,2.35
Tim Burton,390,920,215255,2899,0,box office hit|dc comics|gotham|mayor|penguin,http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1,English,811,7.0,1.85
Tim Johnson,925,13000,127345,22813,1,bear|food|forest|raccoon|turtle,http://www.imdb.com/title/tt0327084/?ref_=fn_tt_tt_1,English,7000,6.8,1.85
Dean DeBlois,443,1000,117212,3112,0,alien|escape|fugitive|hawaii|social worker,http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1,English,533,7.2,1.66
Gary Winick,852,12000,27838,23907,0,barn|pig|piglet|spider|uncle,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1,English,8000,6.4,1.85
Mimi Leder,3000,11000,135601,22750,0,astronomer|comet|mission|president|secretary,http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1,English,4000,6.1,2.35
Dean Parisot,110,13000,125036,25220,7,cia|cia agent|rescue|russian|team,http://www.imdb.com/title/tt1821694/?ref_=fn_tt_tt_1,English,12000,6.7,2.35
Peter Segal,421,11000,130070,13693,11,coach|convict|football|prison|warden,http://www.imdb.com/title/tt0398165/?ref_=fn_tt_tt_1,English,437,6.4,2.35
Mike Mitchell,733,1000,22838,4073,0,chipmunk|cruise ship|football ball|overboard|tennis ball,http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1,English,1000,4.4,1.85
Dennis Dugan,11000,12000,107817,39269,4,belching|number in title|party|reference to nicki minaj|sneezing,http://www.imdb.com/title/tt2191701/?ref_=fn_tt_tt_1,English,11000,5.4,1.85
Peter Segal,11000,13000,168172,44798,1,airplane|misunderstanding|obese woman|overweight woman|spy,http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1,English,12000,6.5,1.85
Nancy Meyers,343,18000,91092,22679,1,beach|dating|doctor|heart attack|weekend,http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1,English,4000,6.7,1.85
Martin Scorsese,163,29000,786092,29585,0,female prisoner|plot twist|self delusion|surprise ending|year 1954,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,English,223,8.1,2.35
Seth Gordon,982,4000,48500,9913,2,airport|christmas|news broadcast|tv broadcast|tv news,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1,English,3000,5.6,1.85
Chris Wedge,208,1000,103022,1804,1,actor voicing multiple characters|box office hit|coffee|plate|robot,http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1,English,311,6.3,1.85
John Woo,805,12000,283967,17087,0,death of child|face|face transplant|prison|terrorist,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,English,1000,7.3,2.35
Adam Shankman,495,11000,72326,12831,0,2000s|bedtime story|elephant|handyman|tween girl,http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1,English,869,6.1,2.35
Sam Mendes,818,15000,200359,16828,0,1930s|blood|gun|on the run|revenge,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,English,1000,7.7,2.35
Dennis Dugan,503,11000,172878,16325,1,chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1,English,3000,6.4,1.85
,0,577,213483,581,0,corruption|lawyer|partnership|superhero|vigilante,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,English,4,8.8,16.0
Simon West,744,12000,225282,15362,6,army rangers|convict|criminal|escape|prison,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1,English,878,6.8,2.35
D.J. Caruso,915,3000,150764,5637,3,audio surveillance|death|pentagon|technology|twin brother,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1,English,982,6.6,2.35
Anthony Minghella,16000,22000,118483,61110,3,civil war|mountain|soldier|well|wounded soldier,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1,English,20000,7.2,2.35
Albert Hughes,10000,18000,227072,44797,0,blind|book|long take|post apocalypse|water,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1,English,15000,6.9,2.35
Les Mayfield,159,49000,63625,50005,1,college|flubber|flying rubber|professor|wedding,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1,English,570,5.2,1.85
Jan de Bont,913,14000,58184,17786,0,greenhouse|haunted house|horror movie remake|mansion|old house,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,English,960,4.9,2.35
Joe Pytka,366,13000,112167,15001,1,alien|basketball|basketball game|cult film|monstars,http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1,English,967,6.3,1.77
Shawn Levy,38,1000,65499,1267,0,diamond|france|investigation|pink panther|soccer,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1,English,177,5.6,1.85
Scott Derrickson,71,18000,139423,22194,0,alien|earth|giant robot|military|scientist,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,English,4000,5.5,2.35
Richard Donner,67,8000,76099,8355,1,conspiracy|fbi|mk ultra|newsletter|taxi,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1,English,137,6.7,2.35
David Ayer,697,11000,303185,20411,4,battle|battlefield|brutality|combat|tank,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1,English,8000,7.6,2.35
Ivan Reitman,397,11000,60910,12729,2,airplane|island|pilot|storm|thunderstorm,http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1,English,643,5.7,2.35
Eric Brevig,375,3000,16385,4394,0,bear|mayor|park|sabotage|yogi bear,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,English,642,4.6,1.85
Kelly Asbury,495,13000,44143,14261,0,cavalry|escape|herd|stallion|wild stallion,http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1,English,503,7.0,2.35
Frank Coraci,269,3000,44662,5392,1,champagne bottle|coca cola|jewelry box|red bull|zoo,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,English,1000,5.2,2.35
Stephen Hopkins,427,10000,58402,12186,0,based on tv series|remake|robot|scientist|spaceship,http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1,English,882,5.1,2.35
Jonathan Demme,502,18000,86422,20056,1,brainwashed assassin|conspiracy|critically acclaimed|mother son relationship|soldier,http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1,English,1000,6.6,1.85
Henry Jaglom,87,898,666,1753,0,american|love|pin|ruby|stranger,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1,English,577,7.0,1.85
Genndy Tartakovsky,859,12000,56501,26839,0,california|dracula|hotel|transylvania|vampire,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1,English,11000,6.7,1.85
,474,1000,11427,2614,1,connecticut|magic|marriage|witch|witchcraft,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,English,960,7.6,4.0
James Algar,62,340,27543,814,0,abstract|ark|disney|fairy tale|piano,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,English,243,7.3,1.78
Simon Wells,102,891,103787,1919,0,hunter|scientist|time machine|time travel|time travel romance,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1,English,639,5.9,2.35
Ron Underwood,372,9000,22955,10731,0,animal|california|gorilla|hunter|poacher,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1,English,496,5.6,1.85
Dominic Sena,820,20000,155532,25942,4,computer|secret agent|terrorism|told in flashback|wearing a sound wire,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1,English,3000,6.5,2.35
Martin Campbell,163,2000,71574,2864,1,california|fight|hero|mask|zorro,http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1,Spanish,277,5.9,2.35
Vincent Ward,129,49000,83560,49631,1,heaven|hell|soul|soul mate|suicide,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,English,448,7.0,2.35
Steven Brill,658,11000,80639,25190,0,angel|devil|flask|hell|the devil,http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1,English,11000,5.3,1.85
Terry Gilliam,871,13000,98472,27114,2,creature|curse|exorcism|girl|village,http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1,English,13000,5.9,1.85
Tim Burton,733,20000,172217,22590,3,alien|general|martian|president|weapon,http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1,English,770,6.3,2.35
