num_critic_for_reviews,duration,actor_2_name,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,language,content_rating,title_year
9,99,Michel Côté,Patrick Huard,Sur le seuil ,79,Jean Pierre Bergeron,canadian gothic|hospital|murder|paranormal|supernatural,French,,2003
74,107,Samantha Morton,Billy Crudup,Jesus' Son ,2125,Mark Webber,hospital|love|mennonite|shower|song,English,R,1999
54,96,Ato Essandoh,Joan Chen,Saving Face ,1396,Jessica Hecht,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,English,R,2004
80,101,Christopher Simpson,Satish Kaushik,Brick Lane ,150,Tannishtha Chatterjee,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,English,PG-13,2007
252,89,Joshua Ormond,Frank Langella,Robot & Frank ,1980,Ana Gasteyer,burglary|dementia|near future|robot|thief,English,PG-13,2012
72,106,Julian Richings,Sarah Polley,My Life Without Me ,2972,Amanda Plummer,cancer|death|doctor|drinking|love,English,R,2003
220,95,Jennifer Jason Leigh,Shailene Woodley,The Spectacular Now ,10040,Dayo Okeniyi,crying man|high school|high school senior|men's clothing store|party,English,R,2013
1,34,Elden Henson,William Hurt,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,1967,Michael Bower,student film|wonder years,English,,1990
197,101,Tal Bachman,Bill Maher,Religulous ,338,Steve Burg,catholic|christian|jew|muslim|religion,English,R,2008
14,112,Sheryl Crow,Larry David,Fuel ,1252,George W. Bush,alternative energy|energy|fuel|green|oil,English,Not Rated,2008
3,100,Diana Scarwid,Bruce McGill,Valley of the Heart's Delight ,1064,Tom Bower,,English,,2006
191,92,Stephen Root,Gary Cole,Dodgeball: A True Underdog Story ,4730,Joel David Moore,dodgeball|gym|las vegas|pirate|ups,English,PG-13,2004
18,100,Carly Schroeder,Katharine Ross,Eye of the Dolphin ,1491,George Harris,dolphin|island|research|tourist|town,English,PG-13,2006
28,80,Emily Pearson,Dustin Lance Black,8: The Mormon Proposition ,210,Gavin Newsom,church|marriage|mormon|mormon church|proposition,English,R,2010
22,106,Anupam Kher,Larry Miller,The Other End of the Line ,1739,Shriya Saran,birthday|call center|fiance|hotel|indian,English,PG-13,2008
62,103,Rüdiger Vogler,Benno Fürmann,Anatomy ,163,Sebastian Blomberg,dissection|male pubic hair|medical school|medical student|train,German,R,2000
47,90,Jacob Vargas,Leonor Varela,Sleep Dealer ,862,Tenoch Huerta,computer|future|mexican immigrant|network|wilhelm scream,Spanish,PG-13,2008
238,96,Rainn Wilson,Linda Cardellini,Super ,4590,Paul T. Taylor,drug dealer|superhero|tragedy|tragic hero|tragic love,English,R,2010
2,89,Piper Mackenzie Harris,Ashley Scott,Christmas Mail ,2579,Lochlyn Munro,boss|holiday|letter|north pole|santa,English,TV-PG,2010
95,87,Cecilia Pillado,Clifton Collins Jr.,Stung ,3157,David Masterson,catering|monster|one word title|party|wasp,English,Not Rated,2015
10,94,Emmanuel Kabongo,Natasha Lyonne,Antibirth ,2406,Mark Webber,,English,,2016
28,120,Harry Lennix,Bernie Mac,Get on the Bus ,5963,Andre Braugher,actor|bus|march|million man march|religion,English,R,1996
25,101,Max Ryan,Marc Blucas,Thr3e ,2306,Justine Waddell,bound with duct tape|flash forward|number|riddle|stalking,English,PG-13,2006
121,84,Patrick Fischler,Anthony 'Citric' Campos,Idiocracy ,1490,David Herman,experiment|future|hibernation|stupidity|top secret,English,R,2006
10,110,Kevin Leslie,Simon Merrells,The Rise of the Krays ,881,Kris Sommerville,,English,R,2015
172,101,Joseph Gilgun,Stephen Graham,This Is England ,3282,Jack O'Connell,england|racism|racist|skinhead|violence,English,Unrated,2006
20,101,Sean Pertwee,Julian Glover,Alien Uprising ,3132,Bianca Brigitte VanDamme,acronym in title|period in title|title ends with period,English,R,2012
8,101,Basil Rathbone,Esther Williams,Bathing Beauty ,1627,Red Skelton,college|teacher|theatrical producer|tutu|wedding,English,Passed,1944
8,105,Aimee Garcia,Jossara Jinaro,Go for It! ,1668,Rene Rosado,exclamation point in title|imperative in title|punctuation in title|three word title,English,PG-13,2011
15,97,Michael O'Neill,Ethan Embry,"Dancer, Texas Pop. 81 ",2580,Alexandra Holden,best friend|friendship|population|state in title|texas,English,PG,1998
14,108,Ava Gardner,Agnes Moorehead,Show Boat ,2329,Howard Keel,gambling|interracial marriage|love|miscegenation|showboat,English,Approved,1951
12,95,Cinda McCain,Tom Skerritt,Redemption Road ,3586,Luke Perry,death of loved one|loss of father|loss of loved one|musician|singer,English,PG-13,2010
48,108,Ellen Burstyn,Topher Grace,The Calling ,4385,Christopher Heyerdahl,bouquet|house fire|praying|serial killer|tied to a chair,English,R,2014
17,90,Phil Hartman,Jon Lovitz,The Brave Little Toaster ,12359,Mindy Sterling,journey|obsolescence|radio|toaster|vacuum cleaner,English,Not Rated,1987
99,120,Deems Taylor,Leopold Stokowski,Fantasia ,16,,apprentice|classical music|disney|mouse|orchestra,English,G,1940
138,104,Fernando Rey,Roy Scheider,The French Connection ,1196,Tony Lo Bianco,crime boss|drug smuggling|heroin|mafia boss|organized crime,English,R,1971
,90,Sebastian Aguilar,Nicole Smolen,8 Days ,210,Ivette Alvarez,,English,PG-13,2014
235,91,Dana Kimmell,Richard Brooker,Friday the 13th Part III ,174,Catherine Parks,defecation|hockey mask|jason voorhees|lake|serial killer,English,R,1982
160,92,Melanie Kinnaman,Tiffany Helm,Friday the 13th: A New Beginning ,170,Dominick Brascia,jason voorhees|murder|new jersey|nightmare|teenager,English,R,1985
18,117,Louise Fletcher,Henry Thomas,The Last Sin Eater ,2161,A.J. Buckley,1850s|christian film|dark secret|funeral|sin eater,English,PG-13,2007
11,120,Delroy Lindo,Alexa PenaVega,Do You Believe? ,6752,Madison Pettis,belief|faith|pastor|question in title|three word title,English,PG-13,2015
11,90,Kayla Ewell,Brian Austin Green,Impact Point ,1651,Linden Ashby,championship|hit and run|police|police investigation|volleyball,English,R,2008
7,119,Greer Garson,Jessica Tandy,The Valley of Decision ,1490,Lionel Barrymore,immigrant|maid|steel mill|strike|union,English,Passed,1945
5,90,Ethan Peck,Jessica Lowndes,Eden ,3799,Brad Schmidt,flare gun|island|plane crash|soccer team|stranded,English,R,2015
10,90,Zohra Segal,Saeed Jaffrey,Chicken Tikka Masala ,244,Shobu Kapoor,acceptance|coming out to family|gay|large family|wedding,English,,2005
5,97,James Wolk,Ryan Guzman,Always Woodstock ,6085,Jason Ritter,claim in title|contraction in title|new york|new york city|woodstock,English,,2014
95,90,Daniel Kash,Rachel Skarsten,Jack Brooks: Monster Slayer ,558,Stefanie Drummond,cult film|demon|monster slayer|uncle|vomiting,English,R,2007
97,172,Teresa Wright,Myrna Loy,The Best Years of Our Lives ,1941,Dana Andrews,love|pity|readjusting to civilian life|veteran|world war two veteran,English,Not Rated,1946
76,115,Nick Stahl,Kelli Garner,Bully ,3293,Brad Renfro,cruelty|friend|male frontal nudity|male nudity|pubic hair,English,R,2001
67,89,Per Christian Ellefsen,Jørgen Langhelle,Elling ,155,Sven Nordin,friendship|mental illness|poet|sex obsession|virgin,Norwegian,R,2001
4,125,Arturo Castro,Michael Derek,Mi America ,214,Brad Lee Wind,,English,R,2015
252,78,Pablo Rosso,Manuela Velasco,[Rec] ,145,Carlos Lasarte,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,Spanish,R,2007
,89,Martha Higareda,Rosie Perez,Lies in Plain Sight ,3873,Cheyenne Haynes,,English,TV-PG,2010
1,100,David Proval,Travis Myers,Sharkskin ,1814,Carmen Argenziano,,English,,2015
33,77,Michael Chapman,Walter Hendrix III,Containment ,2044,Louise Brealey,hazmat suit,English,,2015
19,81,Maria Doyle Kennedy,James Ransone,The Timber ,1020,Shaun O'Hagan,,English,,2015
167,115,Daniela Bianchi,Robert Shaw,From Russia with Love ,1456,Lois Maxwell,assassin|british agent|british secret service|decoder|russian,English,Approved,1963
49,96,Jessica Dublin,Phoebe Legere,The Toxic Avenger Part II ,99,Lisa Gaye,bare breasts|japan|tokyo japan|toxic avenger|troma,English,R,1989
1,60,Alan Autry,Carroll O'Connor,In the Heat of the Night             ,1736,Crystal R. Fox,detective|mississippi|police|police detective|small town,English,,
66,89,John Beck,Woody Allen,Sleeper ,11192,Mews Small,frozen|future|health food|leader|police,English,PG,1973
533,100,Ruby Harris,Maika Monroe,It Follows ,1062,Jake Weary,ambiguous ending|being followed|sex scene|supernatural|supernatural being,English,R,2014
50,88,John Carradine,Woody Allen,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,12034,Lynn Redgrave,aphrodisiac|court jester|jester|queen|written and directed by cast member,English,R,1972
127,129,Brock Peters,Robert Duvall,To Kill a Mockingbird ,3833,William Windom,1930s|alabama|lawyer|six year old|trial,English,Not Rated,1962
177,87,Bruce Spence,Vernon Wells,Mad Max 2: The Road Warrior ,1396,Kjell Nilsson,australian|gasoline|post apocalypse|refinery|warrior,English,R,1981
77,102,Anita Mui,Andy Lau,The Legend of Drunken Master ,768,Ho-Sung Pak,battle|fight|fighting|martial artist|snake,Cantonese,R,1994
103,152,Shelley Winters,James Mason,Lolita ,1404,Lois Maxwell,lolita|nymphet|older man young girl relationship|professor|writer,English,Not Rated,1962
123,118,Brendan Sexton III,Alicia Goranson,Boys Don't Cry ,563,Jeannetta Arnette,drinking|female dressed as male|love|nebraska|transgender,English,R,1999
218,86,Julia Taylor Ross,Eric Sheffer Stevens,Silent House ,218,Adam Trese,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,English,R,2011
215,137,Ulrich Mühe,Sebastian Koch,The Lives of Others ,927,Martina Gedeck,east germany|police|secret police|stasi|writer,German,R,2006
34,129,Alex Kendrick,Ben Davies,Courageous ,2300,T.C. Stallings,faith|fatherhood|integrity|police|responsibility,English,PG-13,2011
100,134,Jackie Gleason,George C. Scott,The Hustler ,2290,Murray Hamilton,drink|manager|money|partner|pool hall,English,Unrated,1961
12,119,Spencer Tracy,Hedy Lamarr,Boom Town ,2555,Claudette Colbert,oil|oil field|oil tycoon|partnership|wildcatter,English,Passed,1940
167,80,Charles Linton,Michel Robin,The Triplets of Belleville ,29,Béatrice Bonifassi,belleville|dog|mafia|tour de france|very little dialogue,French,PG-13,2003
56,89,Irene Bedard,Michael Greyeyes,Smoke Signals ,3163,Gary Farmer,family abandonment|fire|loss of father|native american protagonist|native american reservation,English,PG-13,1998
180,101,James Urbaniak,Josh Hutcherson,American Splendor ,14412,Daniel Tay,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,English,R,2003
211,80,Albert Delpy,Vernon Dobtcheff,Before Sunset ,65,Marie Pillet,book|bookstore|love|simultaneity|train,English,R,2004
157,115,Jorge Salinas,Adriana Barraza,Amores Perros ,318,Goya Toledo,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,Spanish,R,2000
126,100,Sarah Clarke,Holly Hunter,Thirteen ,2186,Kip Pardue,13 year olds|adolescence|friend|peer pressure|teacher,English,R,2003
61,118,Celeste Holm,Dean Stockwell,Gentleman's Agreement ,1846,John Garfield,bigotry|jewish|prejudice|racism|writer,English,Approved,1947
365,100,Shelley Waggener,Jennifer Lawrence,Winter's Bone ,34446,Lauren Sweetser,bail|crystal meth|family relationships|female protagonist|search for father,English,R,2010
121,106,Brendan Mackey,Nicholas Aaron,Touching the Void ,29,Joe Simpson,bone|climbing|crevasse|partner|rope,English,R,2003
10,106,Don Ameche,Tyrone Power,Alexander's Ragtime Band ,1833,John Carradine,band|dance|ragtime|singer|violinist,English,Approved,1938
151,91,Brad William Henke,Najarra Townsend,Me and You and Everyone We Know ,1349,Miranda July,fellatio|seven word title|shoe salesman|title directed by female|written by director,English,R,2005
171,105,George W. Bush,Matt Damon,Inside Job ,13145,Barney Frank,florida|iceland|interview|new york city new york|recession,English,PG-13,2010
158,96,Emily Ratajkowski,Vanessa Lengies,We Are Your Friends ,3013,Jonny Weston,box office flop|critically bashed|male objectification|narcissism|wannabe dj,English,R,2015
167,116,Gano Grills,Henry Silva,Ghost Dog: The Way of the Samurai ,675,Richard Portnow,african american|code|dog|pigeon|samurai,English,R,1999
118,116,Christian Bale,J.K. Simmons,Harsh Times ,50313,Noel Gugliemi,blood splatter|friend|lapd|mexican|violence,English,R,2005
39,97,Leonor Varela,David Oyelowo,Captive ,2739,Sydelle Noel,auto theft|based on true story|drug addict|kidnapping|violence,English,PG-13,2015
108,101,Enrico Colantoni,Julia Roberts,Full Frontal ,11327,Blair Underwood,birthday|friend|hollywood|party|sex,English,R,2002
65,98,Tawny Kitaen,Kathleen Wilhoite,Witchboard ,901,Rose Marie,evil spirit|hatchet|ouija|ouija board|psychopathic killer,English,R,1986
8,22,Amy Sedaris,Stephen Colbert,Strangers with Candy             ,1359,Maria Thayer,alternative comedy|female protagonist|high school|social satire|three word title,English,TV-14,
85,150,Brian Blessed,Julie Christie,Hamlet ,1645,Richard Briers,classic literature|denmark|funeral|madness|prince,English,PG-13,1996
